1) UDELCC17100012 - Admission Number does not exist. In excel file row number : 1069
2) 04-04-18 - Cheque amount is not valid. In excel file row number : 2742
3) 26-02-18 - Cheque amount is not valid. In excel file row number : 2743
4) 16-04-18 - Cheque amount is not valid. In excel file row number : 2744
5) 16-04-18 - Cheque amount is not valid. In excel file row number : 2745
6) 01-05-18 - Cheque amount is not valid. In excel file row number : 2746
7) 19-04-18 - Cheque amount is not valid. In excel file row number : 2747
8) 06-03-18 - Cheque amount is not valid. In excel file row number : 2748
9) 12-04-18 - Cheque amount is not valid. In excel file row number : 2749
10) 27-03-18 - Cheque amount is not valid. In excel file row number : 2750
11) 08-05-18 - Cheque amount is not valid. In excel file row number : 2751
12) 25-04-18 - Cheque amount is not valid. In excel file row number : 2752
13) 23-03-18 - Cheque amount is not valid. In excel file row number : 2753
14) 23-03-18 - Cheque amount is not valid. In excel file row number : 2754
15) 25-04-18 - Cheque amount is not valid. In excel file row number : 2755
16) 17-04-18 - Cheque amount is not valid. In excel file row number : 2756
17) 18-04-18 - Cheque amount is not valid. In excel file row number : 2757
18) 06-04-18 - Cheque amount is not valid. In excel file row number : 2758
19) 06-04-18 - Cheque amount is not valid. In excel file row number : 2759
20) 02-05-18 - Cheque amount is not valid. In excel file row number : 2760
21) 05-05-18 - Cheque amount is not valid. In excel file row number : 2761
22) 29-03-18 - Cheque amount is not valid. In excel file row number : 2762
23) 29-03-18 - Cheque amount is not valid. In excel file row number : 2763
24) 29-04-18 - Cheque amount is not valid. In excel file row number : 2764
25) 29-03-18 - Cheque amount is not valid. In excel file row number : 2765
26) 29-04-18 - Cheque amount is not valid. In excel file row number : 2766
27) 29-03-18 - Cheque amount is not valid. In excel file row number : 2767
28) 26-04-18 - Cheque amount is not valid. In excel file row number : 2768
29) 26-04-18 - Cheque amount is not valid. In excel file row number : 2769
30) 26-04-18 - Cheque amount is not valid. In excel file row number : 2770
31) 26-04-18 - Cheque amount is not valid. In excel file row number : 2771
32) 12-03-18 - Cheque amount is not valid. In excel file row number : 2772
33) 12-03-18 - Cheque amount is not valid. In excel file row number : 2773
34) 02-05-18 - Cheque amount is not valid. In excel file row number : 2774
35) 02-05-18 - Cheque amount is not valid. In excel file row number : 2775
36) 30-04-18 - Cheque amount is not valid. In excel file row number : 2778
37) 10-05-18 - Cheque amount is not valid. In excel file row number : 2779
38) 01-01-18 - Cheque amount is not valid. In excel file row number : 2780
39) 28-03-18 - Cheque amount is not valid. In excel file row number : 2781
40) 26-04-18 - Cheque amount is not valid. In excel file row number : 2782
41) 05-04-18 - Cheque amount is not valid. In excel file row number : 2783
42) 31-03-18 - Cheque amount is not valid. In excel file row number : 2785
43) 09-04-18 - Cheque amount is not valid. In excel file row number : 2786
44) 20-03-18 - Cheque amount is not valid. In excel file row number : 2787
45) 29-03-18 - Cheque amount is not valid. In excel file row number : 2788
46) 05-04-18 - Cheque amount is not valid. In excel file row number : 2789
47) 28-03-18 - Cheque amount is not valid. In excel file row number : 2790
48) 28-03-18 - Cheque amount is not valid. In excel file row number : 2791
